# Rime user dictionary
#@/db_name	custom_dict
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	176129
#@/user_id	5c7bd513-b581-4b5c-b06b-c0a120567e25
a 	呵	c=1 d=1 t=83579
mei jie chu 	沒接觸	c=1 d=1 t=140087
mei jie jue 	沒解決	c=1 d=1 t=84370
mei jie sheng 	沒節省	c=1 d=1 t=147355
mei ju 	枚舉	c=3 d=1 t=130365
mei ju zhi 	枚舉值	c=2 d=1 t=120282
mei jue de 	沒覺得	c=1 d=1 t=172226
mei kai 	沒開	c=8 d=1.02573 t=132346
mei kai men 	沒開門	c=1 d=1 t=137998
mei kai shi 	沒開始	c=1 d=1 t=104442
mei kai zhe 	沒開着	c=1 d=1 t=74472
mei kan 	沒看	c=7 d=1 t=162197
mei kan dao 	沒看到	c=30 d=2.98451e-11 t=176129
mei kan dong 	沒看懂	c=3 d=1 t=107754
mei kan guo 	沒看過	c=1 d=1 t=18114
mei kan qing 	沒看清	c=1 d=1 t=137911
mei kan sa 	沒看撒	c=1 d=1 t=139132
mei kan wan 	沒看完	c=1 d=1 t=114968
mei kao lv 	沒考慮	c=1 d=1 t=61683
mei la 	沒拉	c=3 d=1 t=113513
mei la wo 	沒拉我	c=2 d=1 t=162486
mei lai 	沒來	c=10 d=1 t=157267
mei lan shou 	沒濫收	c=1 d=1 t=139844
mei le tuo 	美乐妥	c=1 d=1 t=154380
mei li 	美麗	c=1 d=1 t=143552
mei li jie 	沒理解	c=2 d=1 t=114276
mei lu 	沒擼	c=1 d=1 t=22208
mei lu 	沒錄	c=1 d=1 t=27490
mei mai 	沒買	c=3 d=1 t=112308
mei mao bing 	沒毛病	c=1 d=1 t=95258
mei mei 	妹妹	c=5 d=1.96561 t=133459
mei ming bai 	沒明白	c=1 d=1 t=96401
mei na 	沒拿	c=2 d=1 t=70073
mei na dao 	沒拿到	c=2 d=1.0061 t=80051
mei na ge 	沒那個	c=2 d=1 t=92338
mei na me 	沒那麼	c=3 d=1.6005 t=111047
mei na me duo 	沒那麼多	c=1 d=1 t=97195
mei neng li 	沒能力	c=1 d=1 t=103343
mei ni 	沒你	c=1 d=1 t=40283
mei ni 	沒呢	c=45 d=1 t=162068
mei ni men 	沒你們	c=1 d=1 t=133989
mei nian 	每年	c=4 d=1 t=125539
mei nong guo 	沒弄過	c=3 d=1 t=89856
mei pao 	沒跑	c=2 d=1.98511 t=26295
mei pei wo 	沒陪我	c=1 d=1 t=13482
mei pian yi 	沒便宜	c=1 d=1 t=94803
mei qi 	煤氣	c=0 d=0.1 t=90486
mei qi lai 	沒起來	c=3 d=1 t=172887
mei qi na 	煤氣那	c=1 d=1 t=90487
mei qi ta 	沒其它	c=1 d=1 t=103103
mei qian 	沒簽	c=1 d=1 t=172495
mei qian 	沒錢	c=16 d=2.03503e-06 t=176129
mei qian dao 	沒簽到	c=1 d=1 t=12495
mei qing 	沒請	c=0 d=0.1 t=170310
mei qing guo 	沒請過	c=1 d=1 t=170311
mei qu 	沒去	c=4 d=7.56427e-12 t=176129
mei qu 	沒取	c=0 d=0.1 t=117370
mei qu dao 	沒取到	c=1 d=1 t=117371
mei qu guo 	沒去過	c=1 d=1 t=28460
mei qu hao 	沒取號	c=1 d=1 t=105389
mei quan 	沒券	c=2 d=1 t=121031
mei quan xian 	沒權限	c=3 d=1.00001 t=110652
mei que shi 	沒缺失	c=1 d=1 t=167115
mei rang 	沒讓	c=1 d=1 t=142762
mei ren 	沒人	c=53 d=2.47319e-06 t=176129
mei ren dai 	沒人帶	c=1 d=1 t=15670
mei ren li 	沒人理	c=1 d=1 t=15778
mei ren wu 	沒任務	c=1 d=1 t=167039
mei ren xing 	沒人性	c=1 d=1 t=140232
mei ri 	每日	c=3 d=0.1 t=68342
mei ri tui jian 	每日推薦	c=1 d=1 t=68343
mei sha 	沒啥	c=109 d=0.0907189 t=176129
mei sha 	沒殺	c=1 d=1 t=106670
mei sha shi er 	沒啥事兒	c=5 d=1.05156 t=118185
mei sha yong 	沒啥用	c=10 d=4.91219e-06 t=176129
mei shan 	眉山	c=1 d=1 t=48530
mei shang 	沒上	c=1 d=1 t=13538
mei shang ban 	沒上班	c=5 d=1 t=138824
mei shang xue 	沒上學	c=1 d=1 t=34323
mei she de 	沒捨得	c=1 d=1 t=112924
mei she zhi 	沒設置	c=1 d=1 t=29683
mei shen me 	沒什麼	c=9 d=1 t=150764
mei sheng cai 	沒生菜	c=1 d=1 t=16788
mei shi 	沒事	c=2 d=1 t=31934
mei shi de 	沒事的	c=1 d=1 t=54640
mei shi er 	沒事兒	c=98 d=0.0258664 t=176129
mei shi er de 	沒事兒的	c=1 d=1 t=153012
mei shi er gan 	沒事兒幹	c=1 d=1 t=9570
mei shi er mei shi er 	沒事兒沒事兒	c=2 d=1 t=136605
mei shi guo 	沒試過	c=2 d=1.97531 t=19258
mei shi jian 	沒時間	c=32 d=0.321422 t=176129
mei shi mei ke 	每時每刻	c=2 d=1 t=151987
mei shi qing 	沒事情	c=1 d=1 t=151179
mei shou dao 	沒收到	c=2 d=1 t=107427
mei shu 	沒熟	c=2 d=1 t=170929
mei shu ju 	沒數據	c=8 d=1.41066 t=171108
mei shua zi 	沒刷子	c=1 d=1 t=69924
mei shui 	沒水	c=2 d=1 t=83222
mei shui 	沒睡	c=4 d=0.1 t=153099
mei shui hao 	沒睡好	c=6 d=1 t=169625
mei shui jiao 	沒睡覺	c=3 d=1 t=173608
mei shui zhe 	沒睡着	c=1 d=1 t=153100
mei shuo 	沒說	c=25 d=2.44859e-06 t=176129
mei shuo hua 	沒說話	c=1 d=0.00218749 t=176129
mei shuo ni 	沒說呢	c=1 d=1 t=113635
mei shuo sha 	沒說啥	c=2 d=1 t=144415
mei suan cuo 	沒算錯	c=1 d=1 t=170350
mei sui zhe 	沒隨着	c=2 d=6.06944e-09 t=176129
mei tai 	沒太	c=4 d=1 t=143636
mei tai yang 	沒太陽	c=1 d=1 t=72540
mei tan hao 	沒談好	c=1 d=1 t=72181
mei ti 	沒提	c=0 d=0.1 t=5079
mei ti chu lai 	沒提出來	c=1 d=1 t=5080
mei ti na 	沒提那	c=1 d=1 t=152455
mei ti yan 	沒體驗	c=1 d=1 t=71485
mei tian 	每天	c=52 d=0.906894 t=176129
mei tiao 	每條	c=5 d=1 t=154009
mei tiao shi 	沒調試	c=1 d=1 t=58012
mei ting 	沒聽	c=2 d=1 t=165348
mei ting dao 	沒聽到	c=2 d=1 t=51841
mei ting guo 	沒聽過	c=3 d=1 t=134087
mei tong guo 	沒通過	c=1 d=1 t=54846
mei tong zhi 	沒通知	c=2 d=1 t=136980
mei tou 	沒頭	c=2 d=1 t=29171
mei tou mei wei 	沒頭沒尾	c=2 d=4.05234e-09 t=176129
mei tou xu 	沒頭緒	c=1 d=1 t=130828
mei tuan 	美團	c=27 d=0.000898306 t=176129
mei tui 	沒退	c=1 d=1 t=21847
mei tui kuan 	沒退款	c=1 d=1 t=77524
mei wan 	沒完	c=1 d=1 t=8309
mei wan guo 	沒玩過	c=1 d=0.362402 t=176129
mei wang 	沒忘	c=1 d=1 t=65855
mei wang 	沒網	c=2 d=1 t=108246
mei wei 	每位	c=1 d=1 t=16640
mei wei 	沒尾	c=2 d=1 t=29172
mei wei dao 	沒味道	c=1 d=1 t=46003
mei wei kou 	沒胃口	c=5 d=8.15063e-07 t=176129
mei wei zhi 	沒位置	c=2 d=1 t=35815
mei wen 	沒問	c=5 d=1.00088 t=172505
mei wen ti 	沒問題	c=73 d=0.878398 t=176129
mei wen wo 	沒問我	c=1 d=1 t=35284
mei wo 	沒我	c=2 d=1 t=137026
mei wo de 	沒我的	c=1 d=1 t=77876
mei wo ei ni 	沒我誒你	c=1 d=1 t=149811
mei xi 	沒洗	c=1 d=1 t=68873
mei xia 	沒下	c=10 d=2.82399 t=167407
mei xia yu 	沒下雨	c=2 d=1.00003 t=15959
mei xian cheng 	沒現成	c=1 d=1 t=93976
mei xiang 	沒想	c=1 d=1 t=173963
mei xiang dao 	沒想到	c=6 d=1 t=169057
mei xiao xi 	沒消息	c=2 d=1 t=19151
mei xie 	沒寫	c=11 d=0.000161662 t=176129
mei xie 	美協	c=1 d=0.000160856 t=176129
mei xie guo 	沒寫過	c=2 d=1 t=115438
mei xie ru 	沒寫入	c=1 d=1 t=173393
mei xie wan 	沒寫完	c=2 d=1 t=59092
mei xie zai 	沒卸載	c=1 d=1 t=43438
mei xiu guo 	沒修過	c=1 d=1 t=35775
mei xuan xiang 	沒選項	c=1 d=1 t=145504
mei ya 	美亞	c=1 d=1 t=117482
mei yao qiu 	沒要求	c=1 d=1 t=101640
mei yi ci 	每一次	c=2 d=1.12283e-10 t=176129
mei yi ge 	每一個	c=2 d=1 t=65407
mei yi hui er 	沒一會兒	c=2 d=3.45021e-11 t=176129
mei yi tian 	每一天	c=1 d=0.00202943 t=176129
mei yi wu 	沒義務	c=1 d=1 t=114352
mei ying xiang 	沒影響	c=1 d=1 t=147331
mei yo 	沒喲	c=3 d=1 t=109674
mei yong 	沒用	c=11 d=1 t=167049
mei yong guo 	沒用過	c=8 d=1.99005 t=145536
mei yong san 	沒用三	c=1 d=1 t=161526
mei you 	沒有	c=464 d=0.156951 t=176129
mei you 	美柚	c=5 d=1 t=174104
mei you a 	沒有啊	c=1 d=1 t=65719
mei you cai 	沒有菜	c=1 d=1 t=48352
mei you ce shi 	沒有測試	c=1 d=1 t=14854
mei you ju bu 	沒有局部	c=1 d=1 t=26531
mei you mei you 	沒有沒有	c=5 d=1 t=123060
mei you ni 	沒有你	c=1 d=1 t=111293
mei you suan qi lai 	沒有算起來	c=1 d=1 t=67796
mei you xian suo 	沒有線索	c=1 d=1 t=57662
mei you xiang 	沒有像	c=1 d=1 t=123212
mei you ya 	沒有呀	c=1 d=1 t=115840
mei you yi jia 	沒有一家	c=1 d=1 t=146450
mei you yong 	沒有用	c=1 d=0.1 t=43821
mei yu dao 	沒遇到	c=2 d=1 t=162215
mei yu mi 	沒玉米	c=1 d=1 t=10434
mei yue 	每月	c=1 d=1 t=130051
mei yue 	眉月	c=1 d=1 t=130050
mei za 	沒咋	c=2 d=1 t=54656
mei zai 	沒在	c=21 d=1 t=174973
mei zen me 	沒怎麼	c=3 d=1 t=117639
mei zhan shi 	沒展示	c=3 d=1 t=112613
mei zhao da 	沒找打	c=1 d=1 t=112616
mei zhao dao 	沒找到	c=4 d=1 t=169118
mei zhao wo 	沒找我	c=2 d=1 t=134857
mei zhe ge 	沒這個	c=4 d=1 t=170850
mei zhe li 	沒這裏	c=1 d=1 t=72058
mei zhe me 	沒這麼	c=1 d=1 t=80363
mei zhi 	每隻	c=1 d=1 t=159972
mei zhi biao 	沒指標	c=1 d=1 t=172809
mei zhi qian 	沒之前	c=1 d=1 t=53488
mei zhong 	沒中	c=1 d=1 t=145470
mei zhou 	每週	c=3 d=1 t=160657
mei zhu yi 	沒注意	c=6 d=1 t=149185
mei zi 	妹子	c=3 d=1 t=170197
mei zou 	沒走	c=1 d=1 t=76876
mei zu 	魅族	c=3 d=2.97025 t=73024
mei zuo 	沒做	c=7 d=1 t=150650
mei zuo guo 	沒做過	c=2 d=1 t=145916
mei zuo wan 	沒做完	c=1 d=1 t=91744
men 	們	c=90 d=0.000279481 t=176129
men 	門	c=12 d=0.000122863 t=176129
men jin 	門禁	c=5 d=0.1 t=53365
men jin ka 	門禁卡	c=2 d=1.96561 t=53373
men kan 	門檻	c=4 d=5.28863e-05 t=176129
men kou 	門口	c=25 d=1.00036 t=171736
men ling 	門鈴	c=1 d=1 t=169772
men lu 	門路	c=2 d=0.00940229 t=176129
men mian 	悶麪	c=2 d=1 t=24343
men mian 	門面	c=1 d=1 t=24344
men na er 	們哪兒	c=1 d=1 t=74538
men shang 	門上	c=2 d=1.08586 t=137748
men wei 	門衛	c=2 d=1.97045 t=109343
meng 	夢	c=8 d=1.956 t=160509
meng 	孟	c=5 d=1 t=154567
meng 	懵	c=6 d=1 t=72697
meng 	猛	c=4 d=1 t=78401
meng bi 	懵筆	c=8 d=1.00203 t=131226
meng jun hao 	孟俊豪	c=2 d=1.0084 t=124363
meng li 	夢裏	c=1 d=1 t=63633
mi 	眯	c=0 d=0.1 t=104404
mi 	米	c=5 d=0.1 t=118161
mi bao 	密報	c=1 d=1.20695e-07 t=176129
mi fa 	祕法	c=1 d=1 t=47444
mi fan 	米飯	c=8 d=2.37089e-09 t=176129
mi hou tao 	獼猴桃	c=1 d=1 t=43917
mi hu 	迷胡	c=1 d=1 t=115697
mi jia 	米家	c=1 d=1 t=72483
mi jiu 	米酒	c=1 d=1 t=35057
mi lao shu 	米老鼠	c=1 d=1 t=151914
mi ma 	密碼	c=26 d=2.1647e-07 t=176129
mi mang 	迷茫	c=1 d=1 t=16117
mi mi 	祕密	c=2 d=1.17735e-09 t=176129
mi mi hu hu 	迷迷糊糊	c=1 d=1 t=79331
mi mian 	米麪	c=1 d=1 t=113695
mi niao 	泌尿	c=1 d=1 t=102371
mi xian 	米線	c=3 d=1 t=88682
mi xue 	蜜雪	c=1 d=1 t=137216
mi yao 	密鑰	c=1 d=1 t=11998
mi yi hui er 	眯一會兒	c=2 d=1.03112 t=105099
mi zhe 	眯着	c=0 d=0.1 t=119432
mi zhe shi 	眯着是	c=1 d=1 t=119433
mian 	免	c=2 d=0.1 t=64857
mian 	棉	c=1 d=0.1 t=95269
mian 	麪	c=28 d=0.00331357 t=176129
mian ba 	麪霸	c=1 d=1 t=13089
mian bai 	麪白	c=1 d=1 t=138843
mian bao 	麪包	c=18 d=0.000123979 t=176129
mian bao che 	麪包車	c=1 d=1 t=25066
mian dan 	免單	c=2 d=0.0012684 t=176129
mian dan 	麪單	c=1 d=0.000409735 t=176129
mian deng lu 	免登錄	c=1 d=1 t=64858
mian fei 	免費	c=26 d=0.00571306 t=176129
mian fei he 	免費喝	c=1 d=1 t=95114
mian guan 	麪館	c=4 d=8.74188e-07 t=176129
mian hu 	麪糊	c=1 d=1 t=80719
mian hua 	棉花	c=1 d=1 t=78630
mian hua tang 	棉花糖	c=2 d=1.41478 t=77142
mian jin 	麪筋	c=1 d=1 t=174689
mian ku 	棉褲	c=1 d=1 t=97366
mian mo 	面膜	c=1 d=1 t=106596
mian qian 	面前	c=1 d=1 t=46897
mian qian 	麪錢	c=1 d=1 t=47478
mian qiang 	勉強	c=4 d=1 t=87671
mian shi 	面試	c=13 d=0.000121534 t=176129
mian tang 	麪湯	c=1 d=1 t=95748
mian tiao 	麪條	c=3 d=1 t=175207
mian tuo xie 	棉脫鞋	c=1 d=1 t=95270
mian xiang 	面向	c=4 d=0.366045 t=176129
mian yi 	免疫	c=1 d=1 t=123316
mian zi 	面子	c=6 d=1 t=128155
miao 	瞄	c=1 d=1 t=123985
miao 	秒	c=3 d=1 t=158233
miao hui 	妙回	c=3 d=1.97045 t=109662
miao sha 	秒殺	c=8 d=1 t=157594
miao shu 	描述	c=6 d=2.91786e-10 t=176129
miao shu xia 	描述下	c=1 d=1 t=46568
mie hao 	咩好	c=1 d=1 t=116359
min tian 	民田	c=4 d=0.0138471 t=176129
min yao 	民謠	c=1 d=1 t=17987
min ying 	民營	c=1 d=1 t=74851
ming 	名	c=7 d=0.0845849 t=176129
ming 	命	c=18 d=0.196912 t=176129
ming 	明	c=6 d=1 t=167885
ming 	銘	c=1 d=1 t=9320
ming 	鳴	c=1 d=1 t=36909
ming bai 	明擺	c=2 d=1 t=29736
ming bai 	明白	c=17 d=1 t=157732
ming bao 	明報	c=1 d=1 t=35072
ming cheng 	名稱	c=173 d=0.444858 t=176129
ming dan 	名單	c=0 d=0.1 t=11355
ming liao 	明瞭	c=1 d=1 t=85162
ming ling 	命令	c=8 d=1 t=175643
ming ming 	命名	c=1 d=1 t=111551
ming ming 	明明	c=16 d=1 t=156481
ming nian 	明年	c=25 d=1 t=133740
ming que 	明確	c=1 d=1 t=63006
ming shuo 	明說	c=2 d=1 t=170250
ming ti 	命題	c=0 d=0.1 t=59884
ming ti a 	命提啊	c=1 d=1 t=146833
ming ti na 	命題那	c=5 d=1 t=155228
ming tian 	明天	c=259 d=0.730433 t=176129
ming wan shang 	明晚上	c=3 d=1 t=137464
ming wen 	明文	c=1 d=1 t=29413
ming xi 	明細	c=1 d=1 t=136530
ming xian 	明顯	c=4 d=1 t=168805
ming xiang 	冥想	c=1 d=1 t=76908
ming xun 	明訓	c=1 d=1 t=123877
ming yun 	命運	c=7 d=0.270191 t=176129
ming zhi 	明智	c=1 d=1 t=122668
ming zhong 	命中	c=1 d=1 t=158185
ming zi 	名子	c=4 d=1 t=40643
ming zi 	名字	c=52 d=1 t=174866
mo 	抹	c=7 d=1 t=171121
mo 	摸	c=41 d=0.873716 t=176129
mo 	末	c=2 d=1 t=65554
mo 	磨	c=2 d=1.19495 t=8290
mo 	膜	c=5 d=5.14449e-05 t=176129
mo 	莫	c=1 d=1 t=34991
mo 	饃	c=1 d=1 t=42797
mo 	麼	c=1 d=1 t=60797
mo ban 	模板	c=29 d=4.29923e-11 t=176129
mo ban 	模版	c=1 d=1 t=91679
mo dao 	摸到	c=1 d=1 t=73274
mo de 	摸得	c=0 d=0.1 t=144379
mo de la 	摸得喇	c=1 d=1 t=144380
mo dian yao 	摸點藥	c=1 d=1 t=175299
mo diao 	磨掉	c=1 d=1 t=39979
mo fa 	魔法	c=1 d=1 t=19059
mo ge 	摸個	c=2 d=1 t=133847
mo hu 	糢糊	c=8 d=1 t=153229
mo hui er 	摸會兒	c=11 d=1.00438 t=142396
mo hui er yu 	摸會兒魚	c=1 d=1 t=123901
mo hui yu 	摸會魚	c=1 d=1 t=120481
mo ji 	墨跡	c=1 d=0.1 t=64817
mo ji hui er 	墨跡會兒	c=2 d=1 t=118583
mo ju 	模具	c=1 d=1 t=36722
mo kuai 	模塊	c=9 d=1.00335 t=105875
mo lian 	抹臉	c=2 d=1 t=161554
mo ming 	莫名	c=1 d=1 t=135229
mo mo 	摸摸	c=3 d=0.1 t=63903
mo mo mo 	摸摸摸	c=1 d=1 t=63904
mo ni 	模擬	c=5 d=1 t=58413
mo nian 	默唸	c=1 d=1 t=58412
mo ren 	默認	c=40 d=1.00374 t=174835
mo ren shi 	默認是	c=1 d=1 t=60179
mo ren ye 	默認頁	c=1 d=1 t=85001
mo ren zhi 	默認值	c=9 d=1 t=174838
mo shi 	末世	c=1 d=1 t=54392
mo shi 	模式	c=8 d=1.09544 t=52075
mo shou 	摸手	c=0 d=0.000110269 t=176129
mo shou ji 	摸手機	c=1 d=0.00110822 t=176129
mo wei 	末尾	c=1 d=5.05567e-06 t=176129
mo xiang 	墨香	c=1 d=1 t=40811
mo xing 	模型	c=247 d=1.62957 t=176042
mo xing 	模形	c=2 d=1 t=30673
mo yi hui er 	摸一會兒	c=2 d=1 t=138588
mo yu 	摸魚	c=87 d=1.31759 t=176129
mo yu le 	摸魚了	c=1 d=1 t=131801
mo yu mo yu 	摸魚摸魚	c=2 d=1 t=84379
mo zheng 	魔怔	c=1 d=1 t=59905
mou cai 	謀財	c=1 d=1 t=143992
mou ge 	某個	c=5 d=1 t=143651
mou ge ren 	某個人	c=2 d=1 t=116482
mou ren 	某人	c=1 d=1 t=29881
mou xie 	某些	c=1 d=1 t=166616
mou yi 	某一	c=1 d=1 t=55837
mu 	木	c=1 d=1 t=50314
mu ban 	模板	c=0 d=0.1 t=6382
mu bu 	幕布	c=2 d=1 t=119673
mu chang 	牧場	c=1 d=1 t=10721
mu cuo 	木錯	c=1 d=1 t=138521
mu di 	目的	c=1 d=1 t=17432
mu er 	木耳	c=0 d=0.1 t=33444
mu er cai 	木耳菜	c=1 d=1 t=33445
mu long 	木龍	c=1 d=1 t=118332
mu lu 	目錄	c=10 d=1 t=129797
mu ne 	木訥	c=0 d=0.1 t=14709
mu qi 	暮氣	c=0 d=0.1 t=72587
mu qi na 	暮氣那	c=1 d=1 t=72588
mu qian 	目前	c=56 d=0.0342181 t=176129
mu wu 	木屋	c=5 d=1 t=162367
mu ying 	母嬰	c=2 d=1 t=169421
n 	嗯	c=14 d=0.00192083 t=176129
n zhe ge 	嗯這個	c=1 d=1 t=62583
na 	吶	c=2 d=1.42105 t=123083
na 	哪	c=1 d=1 t=171862
na 	拿	c=139 d=0.313552 t=176129
na 	納	c=3 d=1 t=171861
na 	那	c=910 d=2.17628 t=176129
na bao bao 	那寶寶	c=1 d=1 t=112233
na bi 	那筆	c=1 d=1 t=14435
na bi jiao 	那比較	c=1 d=0.0297478 t=176129
na bi ran 	那必然	c=1 d=1 t=94173
na bi xu 	那必須	c=15 d=1 t=169293
na bian 	那邊	c=150 d=0.386128 t=176129
na bian de 	那邊的	c=3 d=1 t=109129
na bie 	那別	c=2 d=5.43628e-07 t=176129
na bie gao 	那別搞	c=1 d=1 t=26525
na bing 	那並	c=1 d=1 t=97163
na bu 	那不	c=7 d=6.36415e-08 t=176129
na bu chi 	那不喫	c=2 d=0.1 t=133869
na bu chi na ge 	那不喫那個	c=1 d=1 t=133870
na bu cuo 	那不錯	c=7 d=1 t=149584
na bu dao 	拿不到	c=3 d=1.29376 t=80412
na bu de 	那不得	c=1 d=1 t=149642
na bu dong 	拿不動	c=1 d=1 t=171954
na bu duo 	那不多	c=3 d=1 t=107276
na bu gou 	那不夠	c=1 d=1 t=107833
na bu guan 	那不管	c=1 d=1 t=110724
na bu hui 	那不會	c=9 d=1 t=168077
na bu jiu 	那不就	c=1 d=1 t=117199
na bu jiu shi 	那不就是	c=3 d=1 t=92874
na bu ke neng 	那不可能	c=2 d=1.99501 t=30490
na bu mai 	那不買	c=1 d=1 t=80830
na bu qu 	那不去	c=1 d=1 t=126382
na bu ran 	那不然	c=2 d=1 t=109807
na bu shi 	那不是	c=39 d=0.105928 t=176129
na bu suan 	那不算	c=2 d=1 t=116502
na bu xing 	那不行	c=1 d=1 t=24341
na bu yao 	那不要	c=2 d=1 t=130204
na bu yi ding 	那不一定	c=1 d=1 t=19728
na bu yi yang 	拿不一樣	c=1 d=1 t=22787
na bu yong 	那不用	c=2 d=1 t=23195
na bu zhi yu 	那不至於	c=2 d=5.41009e-09 t=176129
na chi dian 	那喫點	c=1 d=1 t=150798
na chong xin 	那重新	c=1 d=1 t=53875
na chu lai 	拿出來	c=6 d=1 t=151279
na chuang 	那牀	c=1 d=1 t=52682
na ci 	那次	c=1 d=1 t=155618
na cuo 	那錯	c=1 d=1 t=80074
na dao 	拿到	c=13 d=1 t=143431
na dao 	那道	c=1 d=1 t=56166
na dao shi 	那倒是	c=2 d=1 t=48239
na de 	拿的	c=4 d=1 t=125684
na deng hui er 	那等会儿	c=3 d=1 t=123767
na deng wo 	那等我	c=3 d=1 t=150372
na di que 	那的確	c=2 d=1 t=166434
na di que shi 	那的確是	c=2 d=1 t=78312
na dian 	拿點	c=3 d=1 t=134883
na dian 	那點	c=1 d=1 t=66098
na diao 	拿掉	c=1 d=1 t=71877
na ding duo 	那頂多	c=1 d=1 t=116505
na dong 	那棟	c=1 d=0.1 t=87526
na dong lou 	那棟樓	c=1 d=1 t=87527
na duan 	那段	c=0 d=0.1 t=90266
na dun 	那頓	c=1 d=1 t=120699
na e xin 	那噁心	c=1 d=1 t=104993
na er 	哪兒	c=40 d=0.000373123 t=176129
na er 	那兒	c=11 d=1 t=169688
na er de 	哪兒的	c=3 d=1 t=62819
na fa wo 	那發我	c=1 d=1 t=149628
na fan 	那飯	c=1 d=1 t=136013
na fang bian 	那方便	c=1 d=1 t=147001
na fei ge 	那飛哥	c=1 d=1 t=40504
na fen 	那份	c=1 d=1 t=11869
na gan jue 	那感覺	c=4 d=6.67204e-05 t=176129
na gang cai 	那剛纔	c=1 d=1 t=42606
na ge 	拿個	c=1 d=1 t=44721
na ge 	那個	c=491 d=0.760916 t=176129
na ge dian 	那個點	c=1 d=1 t=97667
na ge ren 	那個人	c=12 d=2.00302 t=174228
na ge shi hou 	那個時候	c=1 d=1 t=78545
na gei ni 	那給你	c=1 d=1 t=55257
na gen ni 	那跟你	c=1 d=1 t=49971
na gen wo 	那跟我	c=1 d=1 t=108532
na gu ji 	那估計	c=9 d=2.78852e-06 t=176129
na guan 	那關	c=1 d=1 t=33028
na guo lai 	拿過來	c=2 d=1 t=87795
na guo qu 	拿過去	c=2 d=1 t=119930
na hai 	那還	c=14 d=0.00126512 t=176129
na hai bu ru 	那還不如	c=1 d=0.0127147 t=176129
na hai hao 	那還好	c=1 d=1 t=125709
na hai mei 	那還沒	c=1 d=1 t=43987
na hai neng 	那還能	c=1 d=1 t=11844
na hai shi 	那還是	c=6 d=1 t=129768
na hai xing 	那還行	c=6 d=1 t=145245
na hai yao 	那還要	c=2 d=1 t=149531
na hai you 	那還有	c=2 d=1 t=118702
na hai zao 	那還早	c=2 d=1 t=13823
na hao 	那好	c=2 d=1 t=81060
na hao ba 	那好吧	c=10 d=1.00294 t=119408
na hou mian 	那後面	c=2 d=0.00932553 t=176129
na hui er 	那會兒	c=3 d=1 t=139336
na hui qu 	拿回去	c=5 d=1 t=150820
na ji ge 	那幾個	c=8 d=1 t=172418
na ji ge ren 	那幾個人	c=1 d=1 t=120602
na ji jia 	那幾家	c=1 d=1 t=64721
na ji shi 	那幾時	c=1 d=1 t=42998
na ji tian 	那幾天	c=3 d=1 t=136454
na jia 	那家	c=3 d=1 t=113627
na jia dian 	那家店	c=2 d=1 t=79534
na jie kou 	那接口	c=1 d=1 t=131013
na jin nian 	那今年	c=1 d=1 t=109766
na jin tian 	那今天	c=2 d=1 t=150540
na jiu 	那就	c=206 d=0.803096 t=176129
na jiu bu zhi dao 	那就不知道	c=6 d=1 t=141093
na jiu hao 	那就好	c=7 d=1 t=161518
na jiu mei sha 	那就沒啥	c=1 d=1 t=76401
na jiu qu 	那就去	c=1 d=1 t=32341
na jiu rang 	那就讓	c=1 d=1 t=23605
na jiu shi 	那就是	c=73 d=1 t=174541
na jiu wo 	那就我	c=1 d=1 t=164441
na jiu xing 	那就行	c=29 d=0.0399551 t=176129
na jiu yong 	那就用	c=1 d=1 t=156535
na jiu zhi neng 	那就只能	c=1 d=1 t=27520
na ju 	那句	c=1 d=1 t=129018
na ju hua 	那句話	c=1 d=1 t=58998
na kan 	哪堪	c=0 d=0.1 t=107721
na kan dao 	那看到	c=1 d=1 t=65605
na kan lai 	那看來	c=4 d=1 t=95594
na kan ni 	那看你	c=2 d=1 t=147253
na ke 	那可	c=44 d=1.00249 t=175737
na ke bu 	那可不	c=1 d=1 t=108230
na ke bu hao 	那可不好	c=1 d=1 t=104998
na ke bu xing 	那可不行	c=1 d=1 t=72252
na ke jiu 	那可就	c=1 d=1 t=153711
na ke re yi 	那可熱議	c=1 d=1 t=160155
na ke shi 	那可是	c=1 d=1 t=148384
na ke yi 	那可以	c=57 d=1 t=175856
na ke yi de 	那可以的	c=1 d=1 t=157488
na ke zhen bu cuo 	那可真不錯	c=1 d=1 t=134296
na ken di 	那墾地	c=1 d=1 t=83102
na ken ding 	那肯定	c=16 d=1 t=168169
na kuai 	那塊	c=7 d=1 t=141235
na kuai di 	拿快遞	c=1 d=1 t=99071
na kuai er 	那塊兒	c=1 d=1 t=116173
na ky 	那可以	c=2 d=1 t=82265
na lai 	拿來	c=1 d=1 t=43832
na lai 	那來	c=1 d=4.29704e-05 t=176129
na li 	哪裏	c=1 d=1 t=14712
na li 	那裏	c=33 d=1 t=170630
na li mian 	那裏面	c=1 d=1 t=126865
na liang ge 	那兩個	c=2 d=1 t=112476
na liang ge ren 	那兩個人	c=1 d=1 t=123805
na mai 	那買	c=1 d=1 t=118829
na mai dian 	那買點	c=1 d=1 t=58492
na me 	那麼	c=45 d=1.00008 t=174902
na me dian 	那麼點	c=1 d=1 t=18293
na me duo 	那麼多	c=5 d=1 t=166479
